Отметка времени;1. Напишите Второй закон Ньютона;2. Почему толстостенные стаканы лопаются от горячей воды намного чаще, чем тонкостенные? ;3. Вспомните все фундаментальные взаимодействия (не считая поля Хиггса);4. Напишете закон Мура;5. Почему температура закипания воды может меняться?;6. Почему металлические предметы кажутся холодными на ощупь, даже если они находятся при комнатной температуре?;7. Почему небо голубое?;8.  Напишите закон Архимеда;9. Объясните, почему в вакууме звук не распространяется;10. Почему при нагревании металлы расширяются?;;;;;;
2.18.2025 18:22:03;Сила равняется производной импульса по времени;Из-за большой разницы температур между внутренней и внешней станками;графитационное, электромагнитное, сильное, слабое;каждый год количество транзисторов растет в геометрической прогрессии;из-за внешнего давления;у них высокая теплопроводность;из-за дисперсии света и рассеяния ми на капелькаях воды в атмосфере;выталкивающая сила равна произведению плотности жидкость на ускорение свободного падения и объем погруженной части тела;потому что нет среды в которой бы распростанялись бы колебания;т.к. колебания атомов в решетке становится с большей амплитудой и срденнее расстояние между ними увеличиваетяс;;;;;;
2.18.2025 18:28:28;сила = производная импульса по времени;разница температур у толстостенных стаканов больше, поэтому и лопаются чаще;слабое, гравитационное, сильное, электромагнитное;количество транзисторов удваивается каждые 24 часа;в зависимости от давления, чем меньше - тем ниже точка кипения и наоборот;у некоторых металлов теплопроводность высокая;потому что рассеивается преимущественно синий и изза эффектов преломления света на частицах в воздухе цвет неба может меняться;F = pgV;в вакууме нет частиц, способных передавать механические колебания;потому что есть закон теплового расширения, который гласит, что при нагревании тело линейно увеличивается в зависимости от температуры. атомы колеблются в кристаллической решетке более интенсивно за счет чего им нужно больше пространста за счет чего увеличиваются линейные размеры тела;;;;;;
2.18.2025 18:30:12;Равнодействующая сил равна сумме производных испульсов по времени.;В толстостенном стакане создается температурный градиент, который приводит к неравномерному распределению механических напряжений из-за чего возникают дополнительные напряжения на дефектах, что приводит к их смещению, т.к. появлению микротрещин, в дальнейшем трещин и лопанию. В тонкостенному градиент температур не успевает создаться.;Электромагнитное, слабое, сильное;С увеличением сложности вычислений растет количество требуемых на их исполнений транзисторов.;Потому что закипание, т.е. переход из жидкой фазы в газообразную, является функцией внешних параметров, таких как давление, объем и температура, т.е. температура закипания изменяется при изменении давления и/или объема.;Потому что большинство металлических предметов обладают высокой теплопроводностью, т.е. относительно быстро поглощают тепло человеческого тела. Быстрое потеря тепла (теплоты) вызывает ощущение холодного предмета.;Небо содержит молекулы N2 и O2, которые поглощают определенные длины волн белого света, а синию часть спектра пропускают, что отражается на свете неба.;После плотного обеда чтобы жиром не заплыть, надо сижку покурить.;Звук можно определить как фонноные колебания и колебания связанных молекул. В вакууме такие связи очень короткие из-за большой разреженности, т.е. малой концентраций вещества, соотвественно звук распросраняется только на очень малые величины.;При нагревании часть энергии идет на увеличении энергии ионнов, что приводит к изменению их колебательных мод. Большинству таких систем энергетически выгодно увеличивать расстояние между ионами, чтобы минимизировать энергию металла.;;;;;;
2.18.2025 19:06:16;F=m*a (с векторами);В толстых стеклаб большее число дефектов, по которым может пойти трещина;Гравитационное, электромагнитное, сильные и слабые;Число транзисторов в процессорах возрастает с каждым годом экспоненциально (но в последние годы вроде наблюдается линейный рост);Не помню;Потому что они хорошо проводят и рассеивают тепло, как бы забирая его с нашей кожи;Из-за эффектов рассеяния света разных длин волн на молекулах газа и воды в атмосфере. Более точно, синий свет и нет длину волны порядка характерных размеров данных молекул и хорошо на них рассеивается, попадая затем нам в глаза ;На тело в жидкости действует выталкивающая сила, пропорциональная вытесненной жидкости;В вакууме нет молекул, направленное переводческое колебание которых и является звуком в человеческом понимании.;Не помню;;;;;;
2.18.2025 20:07:26;9;Разница температур между стенками (тепло долго доходит) приводит к деформации толстостенного стекла;Гравитационные, электромагнитные, слабое ядерное, сильное ядерное ;Что это?;Состав воды (влияние примесей) + зависимость от давления. ;Высокая теплопроводность металлов (даже тепла рук);Особенности светорассеивания при разных длин волн ;F = gVp(ро) ;Отсутствие сплошной среды;Повышение температуры = увеличение частоты колебания атомов = увеличение расстояния между атомами в решетке ;;;;;;
2.19.2025 10:11:24;Не могу ответить, подскажи;Изза теплового расширения, в толстой стенке оно сильнее выражено;Не могу вспомнить, помогите;Что с каждым разом какой то показатель увеличивается вдвое;Изза разного давления температура кипения может меняться;Потому что у них высокая теплоемкость и быстрая скорость передачи тепла;Изза спектра поглощения. Оно поглощает весь спектр кроме синего. ;Не могу вспомнить формулу;Потому что в вакууме нет среды через которую будет передаваться энергия(звук);Изза колебания атомов и электронов в решетке. ;;;;;;
2.19.2025 11:25:17;Сумма всех сил, сообщённых телу это произведение массы на ускорение этого тела, которое создаётся за счёт этих сил. ;Из-за разницы температур и молекулярного строения. Пока одна часть нагревается, вторая нет. Из-за этого движение молекул внутри разнятся и происходит сильное отклонение некоторых молекул от положения равновесия. ;Сильное, Слабое, Электромагнитное и Гравитационное;Каждые два года на кристалле микропроцессора количество транзисторов увеличивается вдвое;Есть множества факторов: атмосферное давление,  примеси и т.д. В основном,  можно рассмотреть закономерность по закону Клапейрона-Менделеева. ;Металл обладают более высокой теплопроводностью ;Из-за взаимодействия солнечного света и молекул в атмосфере. Там происходит Рэлеевское рассеяние. ;На всякое тело со стороны жидкости или газа действует выталкивающая сила  направленная вверх. ;Нет молекул, которые могли бы передать колебания. ;"В связи с передачей энергии телу, молекулярное строение в веществе начинает меняться и происходит будто ""растяжение"" из-за того, что молекулы начинают двигаться быстрее  и дальше от своих изначальных положений. ";;;;;;
2.20.2025 12:40:40;-;Из-за возможных изменений структуры ;-;-;Связано с эффектом эбулиоскопии;Из-за высокой теплопроводности;Рассеивание света;Обьем вытесняемой жидкости равен обьему того тела, которое помещено в данную жидкость;Из-за отсутствия волн?;Увеличение колебаний атомов в кристаллической решетки приводит к деформации КР и, как следствию, расширению;;;;;;
2.20.2025 13:14:16;Ускорение тела прямопропорционально равнодействующей всех сил, действующих на тело и обратно пропорционально массе теле.;Из-за низкой теплопроводности стекла температура внутренней и внешней стенки стакана могут отличаться значительно. Тогда и тепловое расширение этих стенок будет отличаться существенно, что приводит в появлению существенных внутренних напряжений в материале. При достижении напряжениями предела прочности происходит разрушение материала.;Гравитационное, электромагнитное, сильное, слабое;Размеры элементарного транзистора процессора эвм уменьшаются вдвое за два года.;Процесс кипения происходит при условии равенства давления насыщенного пара в пузырьках жидкости внешнему давлению. Давление насыщенного пара зависит от температуры. Температура при которой начинает выполняться условие кипения называется температурой кипения. Очевидно она зависит от величины внешнего давления. При изменении величины внешнего давления на жидкость будет меняться температура кипения.;По причине высокой теплопроводности металлов во время прикосновения к металлам происходит охлаждение поверхности кожи до температуры - при бесконечной теплопроводности - равной температуре металла - температуре окружающей среды. Эта температура меньше, чем нормальная температура человеческого тела. Рецепторы фиксируют понижение температуры - возникает ощущение холода.;"В процессе прохождения белого света сквозь атмосферу на неоднородностях атмосферы происходит рассеяние белого света. Сильнее всего рассеиваются сине-фиолетовые лучи - достаточно вспомнить опыт с призмой. 
В результате если смотреть на Солнце прямо, то в глаза будут попадать лучи за исключением рассеянных - вычитанием из белого синий получаем желтый.
Если смотреть не на солнце, то в глаза будут попадать рассеянные лучи того, белого света, который не попадает теперь в глаз наблюдателя - синий.
При достаточной толщине атмосферного слоя, станет заметно и рассеяние красных лучей, которое до этого было незначительным - на закате цвет неба красный.";Выталкивающая сила, действующая на погруженное в жидкость тело, равна весу вытолкнутой жидкости.;Звук это механическая волна, распространяемая в среде. Механические войны не могут распространяться в отсутствие среды.;Ионы металлов в кристаллической решетке испытывают колебания. Упростив до модели в которой эти колебания гармонические, при увеличении температуры увеличивается энергия этих колебаний, а значит возрастает средняя и максимальная скорость движения иона и амплитуда этих колебаний. На каждый разогретый ион в связи с увеличением амплитуды его колебаний, теперь приходится больший объем. А значит и суммарный объем приходящийся на все ионы - объем тела так же увеличивается.;;;;;;
2.20.2025 15:10:55;Ускорение прямо пропорционально силе и обратно пропорционально массе тела;Быстрее расширяется внутренняя часть стекла;Время движения к цели зависит от её размера и расстояния до нее;Закон уменьшения размеров транзистороа;Зависит от атмосферного давления;Обладают хорошей теплопроводностью;Преломление солнечных лучей;Выталкивающая сила прямо пропорциональна плотности жидкости и объему погруженной части тела;Звук - механическая волна, в вакууме частиц нет;;;;;;;
